River;Reach;Sample;Functional_group;d13C_‰;d15N_‰
Deba;Control;Alnus_A;Basal_food_resources;-29.54;-1.1
Deba;Control;Alnus_A;Basal_food_resources;-30.31;-1.28
Deba;Control;Alnus_A;Basal_food_resources;-29.85;-0.81
Deba;Control;Biofilm;Basal_food_resources;-20.515;6.58
Deba;Control;Biofilm;Basal_food_resources;-21.2;7.205
Deba;Control;Biofilm;Basal_food_resources;-25.215;6.925
Deba;Control;Filamentous_green_algae;Basal_food_resources;-29;5.89
Deba;Control;Filamentous_green_algae;Basal_food_resources;-28.01;5.88
Deba;Control;Filamentous_green_algae;Basal_food_resources;-28.81;6.53
Deba;Control;FPOM;Basal_food_resources;-21.91;3.29
Deba;Control;FPOM;Basal_food_resources;-21.585;3.665
Deba;Control;Anguilla_anguilla;Fish;-23.22;8.45
Deba;Control;Anguilla_anguilla;Fish;-25.67;15.94
Deba;Control;Anguilla_anguilla;Fish;-24.24;14.78
Deba;Control;Anguilla_anguilla;Fish;-23.73;14.23
Deba;Control;Anguilla_anguilla;Fish;-25.24;14.04
Deba;Control;Barbatula_quignardi;Fish;-24.54;14.23
Deba;Control;Barbatula_quignardi;Fish;-23.38;12.93
Deba;Control;Barbatula_quignardi;Fish;-23.27;8.54
Deba;Control;Barbatula_quignardi;Fish;-25.11;14.28
Deba;Control;Barbatula_quignardi;Fish;-25.05;14.31
Deba;Control;Parachondrostoma_miegii;Fish;-24.1;15.14
Deba;Control;Parachondrostoma_miegii;Fish;-24.79;14.2
Deba;Control;Parachondrostoma_miegii;Fish;-24.92;15.16
Deba;Control;Parachondrostoma_miegii;Fish;-24.46;13.14
Deba;Control;Parachondrostoma_miegii;Fish;-24.41;13.24
Deba;Control;Phoxinus_bigerri;Fish;-23.63;13.61
Deba;Control;Phoxinus_bigerri;Fish;-24.14;13.56
Deba;Control;Phoxinus_bigerri;Fish;-24.84;12.69
Deba;Control;Phoxinus_bigerri;Fish;-24.17;13.47
Deba;Control;Phoxinus_bigerri;Fish;-23.98;13.09
Deba;Control;Salmo_trutta;Fish;-25.28;12.22
Deba;Control;Salmo_trutta;Fish;-24.61;12.44
Deba;Control;Salmo_trutta;Fish;-25.03;12.17
Deba;Control;Salmo_trutta;Fish;-24.71;12.81
Deba;Control;Salmo_trutta;Fish;-24.48;12.28
Deba;Control;Rhyacophila;Predatory_invertebrates;-25.96;11
Deba;Control;Rhyacophila;Predatory_invertebrates;-26.49;10.09
Deba;Control;Rhyacophila;Predatory_invertebrates;-25.34;10.2
Deba;Control;Rhyacophila;Predatory_invertebrates;-26.08;10.3
Deba;Control;Rhyacophila;Predatory_invertebrates;-26.3;10.28
Deba;Control;Rhyacophila;Predatory_invertebrates;-25.81;10.53
Deba;Control;Rhyacophila;Predatory_invertebrates;-25.73;9.58
Deba;Control;Rhyacophila;Predatory_invertebrates;-25.73;10.52
Deba;Control;Rhyacophila;Predatory_invertebrates;-25.73;10.43
Deba;Control;Baetis;Primary_consumers;-28.21;8.29
Deba;Control;Baetis;Primary_consumers;-27.9;8.39
Deba;Control;Baetis;Primary_consumers;-27.64;7.6
Deba;Control;Baetis;Primary_consumers;-28.48;8.82
Deba;Control;Baetis;Primary_consumers;-28.53;8.67
Deba;Control;Ecdyonurus;Primary_consumers;-27.15;7.86
Deba;Control;Ecdyonurus;Primary_consumers;-26.75;7.29
Deba;Control;Echinogammarus;Primary_consumers;-25.75;7.74
Deba;Control;Echinogammarus;Primary_consumers;-24.66;7.24
Deba;Control;Echinogammarus;Primary_consumers;-25.05;8.13
Deba;Control;Echinogammarus;Primary_consumers;-25.51;8.33
Deba;Control;Echinogammarus;Primary_consumers;-25.52;8.28
Deba;Control;Echinogammarus;Primary_consumers;-25.02;8.26
Deba;Control;Echinogammarus;Primary_consumers;-25.01;7.71
Deba;Control;Echinogammarus;Primary_consumers;-24.96;7.93
Deba;Control;Ephemerella;Primary_consumers;-29.26;9.42
Deba;Control;Ephemerella;Primary_consumers;-29.23;9.35
Deba;Control;Ephemerella;Primary_consumers;-29.52;9.52
Deba;Control;Ephemerella;Primary_consumers;-29.55;8.64
Deba;Control;Ephemerella;Primary_consumers;-29.29;8.42
Deba;Control;Ephemerella;Primary_consumers;-29.14;8.95
Deba;Control;Ephemerella;Primary_consumers;-29.17;8.54
Deba;Control;Ephemerella;Primary_consumers;-29.19;9.57
Deba;Control;Hydropsyche;Primary_consumers;-26.44;9.96
Deba;Control;Hydropsyche;Primary_consumers;-26.2;10.27
Deba;Control;Hydropsyche;Primary_consumers;-25.73;10.19
Deba;Control;Hydropsyche;Primary_consumers;-26.29;9.46
Deba;Control;Hydropsyche;Primary_consumers;-26.22;9.55
Deba;Control;Hydropsyche;Primary_consumers;-26.38;9.45
Deba;Control;Hydropsyche;Primary_consumers;-26.51;8.98
Deba;Control;Hydropsyche;Primary_consumers;-26.89;9.64
Deba;Control;Hydropsyche;Primary_consumers;-26.38;9.14
Deba;Diverted;Alnus_A;Basal_food_resources;-29.72;0.04
Deba;Diverted;Alnus_A;Basal_food_resources;-29.89;-1.32
Deba;Diverted;Alnus_A;Basal_food_resources;-29.64;-0.57
Deba;Diverted;Biofilm;Basal_food_resources;-26.22;8.235
Deba;Diverted;Biofilm;Basal_food_resources;-25.99;8.57
Deba;Diverted;Biofilm;Basal_food_resources;-20.55;5.04
Deba;Diverted;Bryophyte;Basal_food_resources;-30.31;2.96
Deba;Diverted;Bryophyte;Basal_food_resources;-26.68;2.69
Deba;Diverted;Bryophyte;Basal_food_resources;-27.54;3.16
Deba;Diverted;FPOM;Basal_food_resources;-18.17;2.23
Deba;Diverted;FPOM;Basal_food_resources;-23.17;2.57
Deba;Diverted;FPOM;Basal_food_resources;-19.69;2.09
Deba;Diverted;Anguilla_anguilla;Fish;-24.65;16.86
Deba;Diverted;Anguilla_anguilla;Fish;-24.68;15.32
Deba;Diverted;Anguilla_anguilla;Fish;-23.76;15.35
Deba;Diverted;Anguilla_anguilla;Fish;-24.59;15.24
Deba;Diverted;Anguilla_anguilla;Fish;-24.95;14.72
Deba;Diverted;Barbatula_quignardi;Fish;-24.79;13.51
Deba;Diverted;Barbatula_quignardi;Fish;-24.33;13.44
Deba;Diverted;Barbatula_quignardi;Fish;-25.14;13.62
Deba;Diverted;Barbatula_quignardi;Fish;-25.8;13.28
Deba;Diverted;Barbatula_quignardi;Fish;-24.68;13.98
Deba;Diverted;Parachondrostoma_miegii;Fish;-24.55;13.02
Deba;Diverted;Parachondrostoma_miegii;Fish;-24.36;12.97
Deba;Diverted;Parachondrostoma_miegii;Fish;-24.42;13.25
Deba;Diverted;Parachondrostoma_miegii;Fish;-24.94;13.86
Deba;Diverted;Parachondrostoma_miegii;Fish;-24.59;14.14
Deba;Diverted;Phoxinus_bigerri;Fish;-24.25;12.58
